cat,mapping
post_office,government_offices
city_hall,government_offices
courthouse,government_offices
embassy,government_offices
local_government_office,government_offices
police,government_offices
fire_station,government_offices
government_office,government_offices
cemetery,place_of_mourning
funeral_home,place_of_mourning
place_of_mourning,place_of_mourning
school,education
university,education
education,education
church,place_of_worship
hindu_temple,place_of_worship
mosque,place_of_worship
synagogue,place_of_worship
place_of_worship,place_of_worship
campground,lodging
lodging,lodging
rv_park,lodging
bar,entertainment
amusement_park,entertainment
aquarium,entertainment
art_gallery,entertainment
bowling_alley,entertainment
casino,entertainment
movie_rental,entertainment
movie_theater,entertainment
museum,entertainment
night_club,entertainment
stadium,entertainment
zoo,entertainment
library,entertainment
entertainment,entertainment
dentist,health
doctor,health
gym,health
hospital,health
pharmacy,health
physiotherapist,health
health,health
atm,finance
bank,finance
insurance_agency,finance
finance,finance
accounting,finance
car_repair,repair
car_wash,repair
electrician,repair
plumber,repair
general_contractor,repair
roofing_contractor,repair
painter,repair
locksmith,repair
travel_agency,repair
repair,repair
airport,transit
bus_station,transit
taxi_stand,transit
train_station,transit
transit_station,transit
subway_station,transit
travel_agency,transit
transit,transit
bakery,dining_out
cafe,dining_out
meal_delivery,dining_out
meal_takeaway,dining_out
restaurant,dining_out
dining_out,dining_out
food,dining_out
furniture_store,home_store
electronics_store,home_store
hardware_store,home_store
home_goods_store,home_store
moving_company,home_store
real_estate_agency,home_store
storage,home_store
laundry,home_store
home_store,home_store
convenience_store,supermarket
liquor_store,supermarket
supermarket,supermarket
grocery_or_supermarket,supermarket
car_dealer,automotive
car_rental,automotive
gas_station,automotive
parking,automotive
automotive,automotive
book_store,consumer_goods
bicycle_store,consumer_goods
clothing_store,consumer_goods
department_store,consumer_goods
florist,consumer_goods
jewelry_store,consumer_goods
pet_store,consumer_goods
shoe_store,consumer_goods
shopping_mall,consumer_goods
consumer_goods,consumer_goods
store,consumer_goods
beauty_salon,personal_services
hair_care,personal_services
spa,personal_services
personal_services,personal_services
lawyer,personal_services
veterinary_care,personal_services
other,other_organization
parks,park
park,park
