lat,lon,ts
47.66133,-122.29343,2018-06-07 00:00:08.668
47.66123,-122.29655,2018-06-07 00:00:24.000
47.66125,-122.29673,2018-06-07 00:00:25.000
47.66087,-122.29904,2018-06-07 00:00:40.000
47.66067,-122.29951,2018-06-07 00:00:56.000
47.66052,-122.29981,2018-06-07 00:01:11.000
47.66049,-122.29983,2018-06-07 00:01:27.000
47.66026,-122.30019,2018-06-07 00:01:42.000
47.66025,-122.3002,2018-06-07 00:01:44.000
47.66025,-122.30021,2018-06-07 00:02:00.000
47.66025,-122.30021,2018-06-07 00:02:16.000
47.66025,-122.30021,2018-06-07 00:02:32.000
47.66025,-122.30021,2018-06-07 00:02:34.000
47.66025,-122.30021,2018-06-07 00:02:54.000
47.66017,-122.3003,2018-06-07 00:03:10.000
47.65988,-122.30056,2018-06-07 00:03:26.000
47.65977,-122.30066,2018-06-07 00:03:41.000
47.65978,-122.30067,2018-06-07 00:03:44.000
47.65978,-122.30067,2018-06-07 00:04:04.000
47.65978,-122.30067,2018-06-07 00:04:20.000
47.65977,-122.30067,2018-06-07 00:04:36.000
47.65963,-122.3008,2018-06-07 00:04:51.000
47.65958,-122.30084,2018-06-07 00:04:51.649
47.65894,-122.30125,2018-06-07 00:05:24.000
47.65887,-122.30128,2018-06-07 00:05:39.000
47.65877,-122.30131,2018-06-07 00:05:54.000
47.65852,-122.30139,2018-06-07 00:06:10.000
47.65843,-122.30142,2018-06-07 00:06:14.000
47.65783,-122.3016,2018-06-07 00:06:44.000
47.6578,-122.30161,2018-06-07 00:06:59.000
47.65752,-122.3017,2018-06-07 00:07:14.000
47.65712,-122.30181,2018-06-07 00:07:29.000
47.65683,-122.3019,2018-06-07 00:07:34.000
47.65624,-122.30205,2018-06-07 00:08:04.000
47.65606,-122.30211,2018-06-07 00:08:20.000
47.65562,-122.30225,2018-06-07 00:08:36.000
47.65546,-122.30231,2018-06-07 00:08:52.000
47.65512,-122.30243,2018-06-07 00:09:08.000
47.65509,-122.30243,2018-06-07 00:09:23.721
47.65509,-122.30243,2018-06-07 00:09:24.000
47.65509,-122.30243,2018-06-07 00:09:24.057
47.65502,-122.30244,2018-06-07 00:09:40.000
47.65486,-122.30246,2018-06-07 00:09:56.000
47.65474,-122.30255,2018-06-07 00:10:11.000
47.65469,-122.30257,2018-06-07 00:10:27.000
47.65456,-122.30262,2018-06-07 00:10:33.764
47.65456,-122.30262,2018-06-07 00:10:34.552
47.65435,-122.30269,2018-06-07 00:10:50.000
47.65414,-122.30273,2018-06-07 00:11:06.000
